X,Bintang,Pengguna,Komen,Tanggal
3727,Diberi rating 5 bintang dari 5 bintang Diberi,Eko Pamudji,Trima kasih atas bantuan nya. Sudah di acc. CC nya tinggal tunggu aja,06/04/2018
3728,Diberi rating 1 bintang dari 5 bintang Diberi,Agung Dikdaya,"Bagaimana cara membatalkan pengajuan saya? Saya sudah mengajukan sejak 20 Juli 2018 tetapi belum ada hasil, saya mau membatalkan saja",07/24/2018
3729,Diberi rating 5 bintang dari 5 bintang Diberi,Desi Permatasari,Terima kasih cermati yg sudah membantu proses pembuatan kartu kredit.,05/12/2018
3730,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,"Kecewa, katanya mau survei... Pengambilan dokumen. Tlp pun gk ada.... Gmna sih kalau mau d acc ya yg jelas donk jgn php..",07/18/2018
3731,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Mohon di tindak lanjuti penegasan pengajuan acc saya apakah di terima atau di tolak ..ini udah seminggu blm ada konfirmasi jawaban dari pihak cermati..terimakasih,07/06/2018
3732,Diberi rating 5 bintang dari 5 bintang Diberi,Eep Saepulloh,Pengajuan aplikasi lebih dari satu tapi yang di proses satu doang..gk papah lah.itu juga udah d acc.tq cermati,05/15/2018
3733,Diberi rating 5 bintang dari 5 bintang Diberi,wendra hitori,"Pinjaman dana tanpa KTA sangat membantu sekali , Pencairan dana sangat cepat sekali, Terima kasih cermati, common well bank, semoga tetap eksis terus.",09/08/2018
3734,Diberi rating 5 bintang dari 5 bintang Diberi,lintang dp,Cukup membantu bagi orang yang membutuhkan dan tidak tahu proses dalam hal pengajuan-pengajuan pinjaman dan cc,07/29/2018
3735,Diberi rating 3 bintang dari 5 bintang Diberi,Fitri Almer,Sudah berhasil daftar utk pengajuan KTA cm belum dapat diproses.. apa data krng lengkap ato bgmn ya.. tlng dibantu dong admin..?,06/27/2018
3736,Diberi rating 3 bintang dari 5 bintang Diberi,Afri Ani Safitri,Awalny cepet cc aeon kesininya makin lama.. bisa ga di infoin k konsmn kalau pengajuan di acc atau tidaknya.,08/07/2018
3737,Diberi rating 5 bintang dari 5 bintang Diberi,Yoga Prisma,Saya sudah mengajukan ke pihak cermati... Diajukan kembali ke Bank permata.. Sudah ada verifikasi..bahkan pengambilan berkas pun sudah... Mohon info kelanjutan nya!!!,08/08/2018
3738,Diberi rating 5 bintang dari 5 bintang Diberi,Salwa Ramadani,Gimana nih pinjaman KTA nya belum ada kejelasan.. lama sekali prosesnya.. sy butuh sekali sedang ada keperluan mendesak. Tolong di bantu..,09/05/2018
3739,Diberi rating 2 bintang dari 5 bintang Diberi,dahlan,sampai saat ini tidak ada tindak soal pengajuan saya di acc atau di tolak saya coba hubungi no tlp cs cermati namun tidak tersambung,09/12/2018
3740,Diberi rating 5 bintang dari 5 bintang Diberi,Syarifudin Lesmana,"Aplikasi yang bagus dan cepat tanggap, tingkatkan lagi kinerja kalian. Terimakasih",06/06/2018
3741,Diberi rating 3 bintang dari 5 bintang Diberi,Pengguna Google,"Saya sudah masukan nomor KTP pasangan, kenapa selalu tidak sesuai jenis kelamin.. padahal nomor itu sudah benar saya tulis.",07/16/2018
3742,Diberi rating 1 bintang dari 5 bintang Diberi,Panji Iman Lesmana,"Dana Bantuan Sahabat Aplikasi sudah lengkap, anda akan dihubungi cermati sampe sekarang ga ada kabar",07/25/2018
3743,Diberi rating 1 bintang dari 5 bintang Diberi,tatik sutarti,Alasannya belum ada kerja sama dengan daerah domisili. Tapi kok semua bank begitu. Padahal bank nya juha udh ada di daerah saya.,07/15/2018
3744,Diberi rating 5 bintang dari 5 bintang Diberi,Ahmad Pudoly,"Terimakasih cermati,dengan bantuannya akhirnya pinjaman saya di acc,tinggal satu lagi belum berhasil pengajuan kartu kredit.sukses selalu cermati",08/07/2018
3745,Diberi rating 3 bintang dari 5 bintang Diberi,Intan Tria Nandra Zalika,"Saya mengajukan KTA tunaiku bank Amar, tp kenapa yaa saat isi Nomor KTP pasangan balasannya ""Nomor KTP tidak sesuai dgn Jenis Kelamin"" Kan itu nomor KTP Laki laki, yaa pasti gak ada penambahan.. Kalo wanita pasti ada penambahan 40 di tanggal Lahir, padahal udah sesuai dan benar saya mengisinya. ...
Ulasan Lengkap",07/10/2018
3746,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,"Masa masukin no ktp pasangan tfk sesuai dgn jenis krlamin,emang sya.pke ktp palsu. Gak jelas",07/25/2018
3747,Diberi rating 5 bintang dari 5 bintang Diberi,uwend saputra,"Butuh waktu cukup lama, Karena proses tidak akan pernah mengecewakan hasil.",07/30/2018
3748,Diberi rating 5 bintang dari 5 bintang Diberi,James Cameron,Alhamdulillah 3 KK udh sampe.. Dan membantu kesulitan yg sedang dihadapi,05/21/2018
3749,Diberi rating 5 bintang dari 5 bintang Diberi,Marlina Dewi,"Saya kasih bintang 5 langsung... Moga pengajuan KTA saya di ACC, karena lg butuh dana banget",07/07/2018
3750,Diberi rating 4 bintang dari 5 bintang Diberi,Pengguna Google,"Nih hrs punya internet banking jg ga ? Atau SKU atau slip gaji buat yg pedagang ,",08/09/2018
3751,Diberi rating 5 bintang dari 5 bintang Diberi,Widodo Bobby,"Good aplikasi , terima kasih sudah selalu bantu saya semoga selalu sukses.",06/17/2018
3752,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,"Tolong bgt donk cermati saya kasih bintang 5 lg butuh bgt dana, moga sukses terusss... Mantab",06/27/2018
3753,Diberi rating 5 bintang dari 5 bintang Diberi,Alfin Enjoy,"Mudahan"" dengan bikin akun ini semuanya akan selalu membatu ...",04/19/2018
3754,Diberi rating 5 bintang dari 5 bintang Diberi,Tony Ardy,Terima kasih cermati setiap pengajuan cc saya slalu diapprrove love you cermati,06/22/2018
3755,Diberi rating 5 bintang dari 5 bintang Diberi,Rois Fiqih,Cermati emang paling TOP BGT lah mudah sekali cepat proses penfajyan CC dan ngga ribet,08/12/2018
3756,Diberi rating 1 bintang dari 5 bintang Diberi,ichank ramadhan,"Harusnya klo ga di acc jgn php,,bisa di proses tp knytaan nya ga bsa pdhl dh di jlsin sblmnya,,hadeuh",07/16/2018
3757,Diberi rating 2 bintang dari 5 bintang Diberi,Lydeayunitha Kartika,Minjem dari akhir april sampe ini dah mau akhir juni ga di acc yang ada malah iklan asuransi mulu..,06/20/2018
3758,Diberi rating 5 bintang dari 5 bintang Diberi,Razkha Alifah,"kenapa ko saya ga bsa isi nmor NIK pasangan saya,,katanya nmor nih tidak sesuai dng jenis kelamin??",09/07/2018
3759,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,"Ko saya udh gajuin KTA blm ada kabar hasilnya si, ko lama banget.",07/31/2018
3760,Diberi rating 2 bintang dari 5 bintang Diberi,vivi alviani,"aplikasi kaga jelas, percuma ngajuin ini itu data udah lengkap masih aja engga diapprove.",06/28/2018
3761,Diberi rating 2 bintang dari 5 bintang Diberi,Hann chanel,mengecewakan sumpah aplikasi udah berapa hari pengajuan belum ada kabar lagi payah!,09/01/2018
3762,Diberi rating 4 bintang dari 5 bintang Diberi,Dadang Hermawan,"Mantaf,,,, Ajuin Cc Via Cermati Approve Juga,,, Sebelumnya Ajuin Ke Marketing Cc Nya Langsung Rijeck Mulu.",07/05/2018
3763,Diberi rating 2 bintang dari 5 bintang Diberi,Pengguna Google,"Saya sudah hampir 2minggu mengajukan tapi tidak ada info lanjutan, tolong dong cermati di bantu",06/19/2018
3764,Diberi rating 5 bintang dari 5 bintang Diberi,Fitria Yani,Trima kasih cermati. Pengajuan CC BRI saya udah disetujui,07/12/2018
3765,Diberi rating 4 bintang dari 5 bintang Diberi,Pengguna Google,"Semoga di ACC ya cermati KTA buat renovasi rumah , bikin pagar , lagi bnyak curanmor soalny",07/28/2018
3766,Diberi rating 5 bintang dari 5 bintang Diberi,Elma Fathir,baru mau nyoba aplikasinya . semoga pengajuan KTA COMMBANK nya bisa di bantu untuk konfirmasinya,08/31/2018
3767,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Kalau sudah disetujui berapa lama kartu sampai ditangan saya? Terima kasih Sukses terusss...,09/16/2018
3768,Diberi rating 2 bintang dari 5 bintang Diberi,Natalia Ika Riastuti Lestari,"lama banget...kurir mau ambil data aja seminggu ga nongol...trus di data ulang baru diambil datanya....total pengajuan sampe hari ini sudah 2 minggu....dan statusnya entah bagaimana....dari pihak bankpun ga ada telepon...padahal data semua komplit.dan bank lain pun lsg acc.....status ga jelas......
Ulasan Lengkap",07/20/2018
3769,Diberi rating 3 bintang dari 5 bintang Diberi,Rosalia Indah,Pengajuan pinjaman KTA saya di cermati koq lama ya proses nyasebenarnya bs diajukan ngga sih???.tanks,06/11/2018
3770,Diberi rating 4 bintang dari 5 bintang Diberi,fazar sidik,"Kenapa belum ada konfirmasi, sudah 4 hari Sampe Sekarang apakah pinjaman bisa di ACC",06/10/2018
3771,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,"Mudah mdahan di acc ...simpel apl di jmput langsung ke kntor,cs dn kurir ny ramah banget...😃",08/31/2018
3772,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Semoga ini bisa bermanfaat dan membantu saya dalam kesulitan-kesulitan keuangan saya yang sedang dihadapin ini Amin ya rabbal Al-Amin....,04/28/2018
3773,Diberi rating 2 bintang dari 5 bintang Diberi,Pengguna Google,Tolong buat cermati.. saya disuruh ngajuka buat KTA atau KK tapi.endingnya jabodetabek.. hadewh... tolonglah ke area jawa timur juga..,05/03/2018
3774,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Semoga CPT di proses ya cermati karna buat modal usaha saya,04/25/2018
3775,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Aplikasi mantap lho ayo pd dowload djmin ga nyesel,06/07/2018
3776,Diberi rating 5 bintang dari 5 bintang Diberi,aldy surya,"Selamat siang saya mau bertanya saya sudah mengajukan data"" lengkap saya kira"" itu bisa di ACC kapan yaa",08/17/2018
3777,Diberi rating 3 bintang dari 5 bintang Diberi,Machmud Syamsul,Tolong supaya pengajuan sya di dbs bsa lsng diproses ya secepatnya,07/04/2018
3778,Diberi rating 5 bintang dari 5 bintang Diberi,arif Tajudin,Membantu dalam proses pinjaman lebih cepat..tpi bagaimana pembyran nya bila sdh disetujui,05/21/2018
3779,Diberi rating 5 bintang dari 5 bintang Diberi,maya kustini,Saya kasih bintang 5 langsung somoga pinjaman saya di bantu dan di acc ..terima kasih cermati,06/02/2018
3780,Diberi rating 2 bintang dari 5 bintang Diberi,Estrada Kurniawan,Kasih dua dulu masak belom lengkap trus padahal udah lengkap kurang jeli paling ini,07/30/2018
3781,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,"Dapat email cermati,mudah2 d acc",04/22/2018
3782,Diberi rating 5 bintang dari 5 bintang Diberi,yovita andina,"Sangat membantu cermati, mengajukan kartu kredit selalu berhasil, terimakasih cermati",05/15/2018
3783,Diberi rating 3 bintang dari 5 bintang Diberi,Ahmad Soleh W,"Kelihatan gampang, prakteknya berbelit-belit, dokumen sudah di serahkan, belum ada konfirmasi nya, sudah 3 bulan, hadeewh...",07/29/2018
3784,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Coment nya sie bagus semua.. tp koq saya gak bisa buka yaa,07/10/2018
3785,Diberi rating 5 bintang dari 5 bintang Diberi,Ellis Sulastri,Mohon di ACC pengajuan Kartu Kredit agar Cermati selalu Jaya...,05/04/2018
3786,Diberi rating 5 bintang dari 5 bintang Diberi,rachmawati dewi,Cermati Keren...kesekian kali nya CC saya di acc pihak perbankan...terima kasih cermati...sukses selalu.,08/12/2018
3787,Diberi rating 4 bintang dari 5 bintang Diberi,VR46 official,Sudah di tlvn dan tinggal nunggu persetujuan dari pihak terkait..mohon di bantu ya terima kasih,12/18/2018
3788,Diberi rating 4 bintang dari 5 bintang Diberi,Ridwan Setiawan,Kasih 3 b dlu kalo cepat di prosesnya tak tambah 2 b lg ok,04/30/2018
3789,Diberi rating 2 bintang dari 5 bintang Diberi,Randy Wisesa kusumah,Sudah jelas ktp nya malah jenis klamin beda emang nya ladyboys ekeu,08/13/2018
3790,Diberi rating 4 bintang dari 5 bintang Diberi,Tono Ayanah,Semoga saja pengajuan pinjaman saya di ACC.saya sangat membutuhkan nya thanks sebelumnya,06/21/2018
3791,Diberi rating 3 bintang dari 5 bintang Diberi,Nurhayati Pekanbaru,"Saya Ngajukan pinjaman tapi kenapa ya,masih dalam proses belajar udah beberapa hari,,kapan ya dapat kepastiannya,,,? Mohon bantuannya",07/12/2018
3792,Diberi rating 2 bintang dari 5 bintang Diberi,Alghufron Muhammad Ramadhan Ridwan,Aplikasi apa ini?! Sudah isi banyak2 belum ada kabar lagi ACC atau tidaknya,07/09/2018
3793,Diberi rating 1 bintang dari 5 bintang Diberi,Hartono Chelix,Maaf saya uninstall krn prosesnya lama berbulan bulan..semarang blm ada,08/27/2018
3794,Diberi rating 5 bintang dari 5 bintang Diberi,Radinka Sikumbang,"Saya melakukan pengurusan asuransi mobil melalui aplikasi cermati cepat, mudah dan murah....",05/12/2018
3795,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Terimakasih cermati pngajuan cc nya sudah di acc Sangat membantu sekali,05/18/2018
3796,Diberi rating 1 bintang dari 5 bintang Diberi,wong iks,Aplikasi abal abal jangan di download percuma ini cuma ambil data nasabah aja,09/02/2018
3797,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Terima kasih cermati saya sangat suka sekali aplikasinya dan sangat bisa membantu,07/15/2018
3798,Diberi rating 3 bintang dari 5 bintang Diberi,Mista Prayoga,Saya kasih bintang tiga dulu kalau di ACC baru sy kasih bintang lima,07/18/2018
3799,Diberi rating 2 bintang dari 5 bintang Diberi,Irene Yosie,Kok aplikasinya muter2 aja ya..tidak bisa utk pengajuan..padahal sinyal bagus..tolong d bantu,08/19/2018
3800,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Dng aplikasi ini org 2 trbantu dng mudah untuk semua urusan!,06/25/2018
3801,Diberi rating 3 bintang dari 5 bintang Diberi,Sofyaner 2,Udh ajuin hampir sebulan di tlp aja ngk,04/25/2018
3802,Diberi rating 2 bintang dari 5 bintang Diberi,Karina Audyaputri,Udah ngajuin CC dan pinjaman KTA tapi sampai sekarang masih digantungkan.,09/03/2018
3803,Diberi rating 5 bintang dari 5 bintang Diberi,Trio Pujianto,Trimakasih cermati karena dengan cermati saya terbantu pengajuan kartu krditnya.tingkatkan trus pelayanannya,08/13/2018
3804,Diberi rating 4 bintang dari 5 bintang Diberi,Pengguna Google,Tolong di acc dong lg butuh uang ni,07/10/2018
3805,Diberi rating 5 bintang dari 5 bintang Diberi,RinaKhafid Vlog,Cermati sangat membantu sangat... Terima kasih....,06/04/2018
3806,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Saya kasih bintang 5 aja biar bner ada prosesnya,06/07/2018
3807,Diberi rating 4 bintang dari 5 bintang Diberi,Pengguna Google,Sy ngajuin cc bri kalau di acc kasih bintang 5,07/20/2018
3808,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,"Aplikasi cermati sangat membantu di saat saya mengajukan CC,trims cermati",08/31/2018
3809,Diberi rating 1 bintang dari 5 bintang Diberi,AzkaKila Channel,Ga ada tindak lanjut di status aplikasi padahal udah mencancel,06/28/2018
3810,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,"Saya tinggal di kota makassar,kok di situ waktu saya pilih kota tidak ada makassar?",05/27/2018
3811,Diberi rating 5 bintang dari 5 bintang Diberi,tani tan,"Tq cermati,CC sy di approve' sangat membantu' cs nya jg ramah'",08/12/2018
3812,Diberi rating 2 bintang dari 5 bintang Diberi,Rio Bonaparte,Ga ada jawaban udah ada hampir dua bulan. Di acc atau kagak. Hahahaha. Koplak.,07/19/2018
3813,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Alhamdllah setiap ngajuin di approved terus. Terima kasih cermati 😋,05/18/2018
3814,Diberi rating 4 bintang dari 5 bintang Diberi,putri arwana,Kalau sudah accsaya naikan raitingnya lagi 5 bintang.. Makasih,08/17/2018
3815,Diberi rating 5 bintang dari 5 bintang Diberi,Cipto Mulyo,Walau melalui proses panjang akhirnya cc saya di ajukan..tq,07/30/2018
3816,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Kemaren udah di telpon to udah seminggu blm ada kabar,06/05/2018
3817,Diberi rating 4 bintang dari 5 bintang Diberi,Pengguna Google,Kasih 4 dlu klo d accd tambah lg,08/27/2018
3818,Diberi rating 2 bintang dari 5 bintang Diberi,Pengguna Google,Coba dlu klo d acc kasi 10 lou,05/31/2018
3819,Diberi rating 1 bintang dari 5 bintang Diberi,Dede Yusuf,Sayang...pinjaman hanya untuk para karyawan untuk para wiraswasta kalo tanpa agunan ga bisa....,07/17/2018
3820,Diberi rating 4 bintang dari 5 bintang Diberi,Babay Febri,Tolong dong pengajuan saya di proses lebih cepat lg,04/30/2018
3821,Diberi rating 2 bintang dari 5 bintang Diberi,Fauzi maulana akbar,"2dulu aj karena belum ada konfirmasi,lama banget",08/27/2018
3822,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,"Moga ajh di ACC,lagi bth banget",05/12/2018
3823,Diberi rating 5 bintang dari 5 bintang Diberi,Dadang Kusnandar,Good saya kasih bintang 5,06/10/2018
3824,Diberi rating 5 bintang dari 5 bintang Diberi,Ben. Nvt,Pengajuan aplikasi sudah lengkap tunggu validasi dan semoga di setujui..,06/26/2018
3825,Diberi rating 1 bintang dari 5 bintang Diberi,Rachman Nurani,"APLIKASI WADUK...HARUS BRAPA LAMA NUNGGU VALIDASI NA, KEHED😤",06/20/2018
3826,Diberi rating 3 bintang dari 5 bintang Diberi,Karinaulia Sugiarto,Beberapa kartu kredit saya blim ada pnjlsan,09/08/2018
3827,Diberi rating 3 bintang dari 5 bintang Diberi,azkiya nasution,Kalau pngajuan di acc tambah lg bintang nya,07/02/2018
3828,Diberi rating 5 bintang dari 5 bintang Diberi,Eko Syahrial,Proses mudah dan sangat membantu. Terima kasih cermati,09/11/2018
3829,Diberi rating 5 bintang dari 5 bintang Diberi,Rohma yathie,"Thanks, Cermati.. The best application partner & high recommended.. 👍👍👍",05/16/2018
3830,Diberi rating 5 bintang dari 5 bintang Diberi,ARI DJ,"Aplikasi mantap, pengajuan kartu kredit saya di acc",07/07/2018
3831,Diberi rating 3 bintang dari 5 bintang Diberi,Pengguna Google,3 dulu jika saya disetujui akan saya kasih 5,06/02/2018
3832,Diberi rating 2 bintang dari 5 bintang Diberi,Revi Reza,Tolong vervikasi percepat acc atau tidak..udh nunggu lama ditolak percuma..,08/28/2018
3833,Diberi rating 3 bintang dari 5 bintang Diberi,Votsal Teguh,Ya lumayan...tapi pengajuannya ngak jelas statusnya ditolak atau di acc,06/07/2018
3834,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,Aplikasi macam apa ini!!,05/07/2018
3835,Diberi rating 5 bintang dari 5 bintang Diberi,suci mauludiyah,Cocok untuk kamu yg butuh dana cepat,05/13/2018
3836,Diberi rating 5 bintang dari 5 bintang Diberi,Nob Games,Ajiiibbb proses cepat adminnya ramah banget,07/23/2018
3837,Diberi rating 5 bintang dari 5 bintang Diberi,AGS CHANNEL,Blm ada yg si acc kartu ny 🙁,08/17/2018
3838,Diberi rating 5 bintang dari 5 bintang Diberi,Iwa Ichwan,Acc 20jt di commonwealth lewat sini mksh cermati,08/25/2018
3839,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Mohon bantuanya tolong acc pengajuan saya,09/10/2018
3840,Diberi rating 1 bintang dari 5 bintang Diberi,Muhammad Myzan,Php belum ada pinjaman untuk wilayah palembang,05/19/2018
3841,Diberi rating 5 bintang dari 5 bintang Diberi,David Darmanto,Semoga bisa membantu untuk solusi bisni sy,07/12/2018
3842,Diberi rating 1 bintang dari 5 bintang Diberi,KMA SAJAH,Ngajuin nya KTA malahan telpon banyak banget dari asuransi ....ga bagus lah ....,07/11/2018
3843,Diberi rating 5 bintang dari 5 bintang Diberi,Resagus Dwi Cahyo,TOP deh cermati. Thx Cermati 🙏,08/02/2018
3844,Diberi rating 4 bintang dari 5 bintang Diberi,Pengguna Google,Mudah2n bs membantu a/n ratu miftahul,07/03/2018
3845,Diberi rating 5 bintang dari 5 bintang Diberi,Daf Agunk,Dana langsung cair setelah beberapa hari pengajuan ..sipp,08/21/2018
3846,Diberi rating 1 bintang dari 5 bintang Diberi,NURHAYAT RAHAYU NINGRAT,"SULIT PERSYARATANYA,AREA NYA JUGA TERBATAS",08/19/2018
3847,Diberi rating 5 bintang dari 5 bintang Diberi,Hend Drie,Kartu Creditnya cepet jadi loh,05/24/2018
3848,Diberi rating 5 bintang dari 5 bintang Diberi,yuda antoni,sya gpnya kertu kredt bsgk pinjm.,08/18/2018
3849,Diberi rating 5 bintang dari 5 bintang Diberi,Arifin Fair,"Mudah""an bisa bekerja sama dgn baik. Semoga sukses ya??",08/29/2018
3850,Diberi rating 3 bintang dari 5 bintang Diberi,Pengguna Google,Id saya.. DZADMBJT kapan ditundak lanjuti yah admin?,08/09/2018
3851,Diberi rating 5 bintang dari 5 bintang Diberi,Mr. H . IRAWAN,Terima kasih cermati sudah membantu pinjaman saya ke bank commoonwelth...terbaik 👍👍👍👍👍,08/29/2018
3852,Diberi rating 1 bintang dari 5 bintang Diberi,Adjie75 Rusni,Aplikasi hayalan....cuma cari data doang ditlp jg enggak....awas MODUS,07/16/2018
3853,Diberi rating 5 bintang dari 5 bintang Diberi,Asep Sariat,sangat membantu tuk pengajuan kartu keridit.mks,07/15/2018
3854,Diberi rating 5 bintang dari 5 bintang Diberi,ferry yan baskoro,"Sabar, dan alhamdulillah udah bisa di approve",09/12/2018
3855,Diberi rating 3 bintang dari 5 bintang Diberi,Robby Fadhillah,Aplikasi nya bagus.. Muda mudahan pengajuan di acc.. Thanks,07/12/2018
3856,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Semoga bisa cepat dpt pinjaman,05/10/2018
3857,Diberi rating 4 bintang dari 5 bintang Diberi,Sah Roni,Semoga bisa di acc pengajuan saya,07/20/2018
3858,Diberi rating 5 bintang dari 5 bintang Diberi,Eka Kustiawan,terima kasih sudah sangat membantu,05/12/2018
3859,Diberi rating 5 bintang dari 5 bintang Diberi,Sipay Anggara,saya senang dengan aplikasi ini sangat membantu,07/08/2018
3860,Diberi rating 4 bintang dari 5 bintang Diberi,Ninu Kurnia,Coba dulu nti ditambah deh,08/15/2018
3861,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Sangat membantu aplikasi ini sukses sll,04/25/2018
3862,Diberi rating 5 bintang dari 5 bintang Diberi,zalfa aika,Masih dlm tahap verifikasi data.. semoga lancar semua...,08/13/2018
3863,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Kenapa susah buat isi aplikasinya,07/20/2018
3864,Diberi rating 5 bintang dari 5 bintang Diberi,Nurhasanah Nunung,Bisa di bantu untuk kartu krdeit saya,08/13/2018
3865,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,"cuman orang bodoh pakAi amplikasi ini,",08/07/2018
3866,Diberi rating 4 bintang dari 5 bintang Diberi,Pengguna Google,Semoga pengajuan Saya di ACC amin,07/05/2018
3867,Diberi rating 5 bintang dari 5 bintang Diberi,maya safitri,Good bisa di acc kartu kreditnya,07/27/2018
3868,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Coba dl klo bagus di tambah,07/23/2018
3869,Diberi rating 5 bintang dari 5 bintang Diberi,Ramdan Hakiki,Tolong dibantu untuk pengajuan KTA nya,05/12/2018
3870,Diberi rating 1 bintang dari 5 bintang Diberi,Evi Yasin,Bukannya pinjaman yg dateng malah asuransi... payah,08/01/2018
3871,Diberi rating 3 bintang dari 5 bintang Diberi,Pengguna Google,Moga ajh di ACC yh admin,08/17/2018
3872,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,saya belum punya kartu kredit.,06/25/2018
3873,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,Pengajuan sudah hampir 1 bulan tetapi tidak ada kelanjutannya... Sangat kecewa...!!!,09/06/2018
3874,Diberi rating 2 bintang dari 5 bintang Diberi,amadrov 91,Lama proses nya... Orng btuh cepat proses dilamain,08/24/2018
3875,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Semoga cermati tetep sukses trimk cermati,08/25/2018
3876,Diberi rating 5 bintang dari 5 bintang Diberi,Supit Arya,terimaksih..terus tingkatkan pelayanan nya...,05/28/2018
3877,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,"Baru ajuin,mudh"" di acc bwt renov.",07/09/2018
3878,Diberi rating 5 bintang dari 5 bintang Diberi,Budi Ferdian,"saya tambah Bintang nya,, mudah""an di acc",05/30/2018
3879,Diberi rating 4 bintang dari 5 bintang Diberi,Deden Maulana,Akhir nyaaa ada yang nyangkut juga .,05/23/2018
3880,Diberi rating 5 bintang dari 5 bintang Diberi,Bani Mulyanto,Terimakasih telah membantu pengajuan CC sy...,08/10/2018
3881,Diberi rating 5 bintang dari 5 bintang Diberi,RYO PRAM,"Mantap, terimakasih cermati, sukses selalu",07/10/2018
3882,Diberi rating 5 bintang dari 5 bintang Diberi,Dzul,Terima kasih sudah membantu.,08/12/2018
3883,Diberi rating 4 bintang dari 5 bintang Diberi,Gideon Aji Waskito,"Sangat membantu,simpel dan praktis .",07/28/2018
3884,Diberi rating 5 bintang dari 5 bintang Diberi,Ria Afriana,Terima kasih cermati... Pengajuan di acc semua.,08/12/2018
3885,Diberi rating 5 bintang dari 5 bintang Diberi,ahmad ri,no coment deh.. good job aja,09/09/2018
3886,Diberi rating 2 bintang dari 5 bintang Diberi,imam triharyanto,sudah pengajuan.. gk ada kejelasan sama sekali..,05/24/2018
3887,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Semoga bisa membantu amin,09/04/2018
3888,Diberi rating 1 bintang dari 5 bintang Diberi,Arkop Segendog,apk tai. sama apk lainnya sama aja.,06/27/2018
3889,Diberi rating 5 bintang dari 5 bintang Diberi,Ratu Dian Nurul HIkmah,Erimakasih cermati syuka sekali,08/12/2018
3890,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Semoga bisa membantu kami,07/10/2018
3891,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Mdh2an prosesnya cepat dan di ACC,08/03/2018
3892,Diberi rating 5 bintang dari 5 bintang Diberi,Andri Ajah,Bagusss pengajuan saya di terimaa,05/15/2018
3893,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Bagus bangat sangat mebatu,09/08/2018
3894,Diberi rating 4 bintang dari 5 bintang Diberi,Ade Yuni Anah,semoga pengajuanku berhasil acc,08/13/2018
3895,Diberi rating 5 bintang dari 5 bintang Diberi,BANG YOGA,Semoga pengajuan nya di acc,09/05/2018
3896,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Mantap cermati membantu bnget,06/01/2018
3897,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Mencoba bukan berarti berharap,06/29/2018
3898,Diberi rating 5 bintang dari 5 bintang Diberi,SANDHY LIMARDI,Hebat bisa membantu sekali,07/06/2018
3899,Diberi rating 3 bintang dari 5 bintang Diberi,ALI TV,Pengajuan saya belom di acc juga ?,06/20/2018
3900,Diberi rating 4 bintang dari 5 bintang Diberi,Toto Driver,Coba dlu... kalo di ACC dtmbain & di recommended,06/01/2018
