,Bintang,Pengguna,Komen,Tanggal
472,Diberi rating 1 bintang dari 5 bintang,putra chanel,Pengajuan kartu kredit bca flazz atas nama ferdina dwi tristanti. Kok belum ada kejelasan di trima atau tidak... Dan kemarin saya tanyakan di halo bca.. Katanya belum ada pengajuan atas nama tersebut.. Saya lihat di komen kok sama semua keluhanya.... Bener bener mengecewakan,18 Mei 2019
473,Diberi rating 3 bintang dari 5 bintang,Pengguna Google,"Kenapa pengajuan saya dari tgl 6 - desember sampai sekarang masih dalam proses padahal data sudah lengkap, kalau di ACC yah di ACC aja tp kalau tidak di ACC yah tolak aja tp tolong kejelasannya mind biar sy tau jadi apa ngaknya, kalau ngak sy daftar di tempat lain aja thanks",8 Januari 2019
474,Diberi rating 3 bintang dari 5 bintang,Fidie farah,"1bulan lebih buat nungguin proses CC BRI, setelah konfirmasi ke cermatinya dikatakan bahwa aplikasi ditolak, padahal di sistem cermati masih tertulis menunggu persetujuan instansi terkait. Gak ngerti lagiii",24 Oktober 2018
475,Diberi rating 2 bintang dari 5 bintang,Lis Lonawati,"saya pernah dowlod aplikasi ni,, yg katanya mudah, dlm 5 menit cair,, nyatanya lama?? sudah saya hapus lgi aplikasinya baru dah ada tlpon bhwa pengajuan saya akan d setujui,,,!!! percuma saya sudah hapus aplikasi bru ada tlpon!!! sekalian aja saya tolak!!. klo bener mu bantu orang susah jagan seteng...
Ulasan Lengkap",22 Juni 2019
476,Diberi rating 5 bintang dari 5 bintang,Lucky Pratama,"Lebih baik lengkapin data dan persyaratan dan kasih rating positif, daripada menyerah dan kasih rating negatif.. Sy pernah berulang kali di tolak aplikasi cemati maupun yang lainnya dan coba terus sampai akhirnya Acc.. Terima kasih Cermati karena sudah susah payah membuat system aplikasi, Sy Selalu ...
Ulasan Lengkap",20 Maret 2019
477,Diberi rating 1 bintang dari 5 bintang,Bani Alie,"Sangat di Sayangkan Sekali proses yg begitu teramat lama sekali,Pengajuan dri Tanggal 17 januari 2019,Sampai Saat Ini tidak Ada Kelanjutan yg Jelas,Di Acc/Tidaknya Pengajuan Saya,itu Tidak Ada Kabar,Dan Mau Hubungi CS Cermati tetapi tidak tercantum di Aplikasi, Sangat Di Sayangkan,",7 Februari 2019
478,Diberi rating 3 bintang dari 5 bintang,Pengguna Google,kalau aplikasi lain di acc atau gaknya pling lama 24 jam udah dpet pemberitahuan .. ini gak tahu batasnya sampai kpan .. gak ada pula batas waktu yg di tetapkan .. jadi kalau kata orang pacaran di gantung .. ujung2 d php in .. perbaikilah .. proses validasinya 1x24 jam .. pasti di kasih bintang 7,2 Februari 2019
479,Diberi rating 3 bintang dari 5 bintang,Dena Restiyan,"selebihnya aplikasi ini bagus untuk rekomendasi pinjaman terutama untuk cicilan. tp begitu mengajukan KTA cicilan ternyata sudah 1 bulan tidak ada kabar beritanya. apakah penolakan atau di acc. tolong kalau mau ambil data orang gak begini jg caranya ya... tingkatkan profesionalisme nya sebagai penye...
Ulasan Lengkap",26 Juni 2019
480,Diberi rating 5 bintang dari 5 bintang,Stevi Rehatta,"Dengan adanya aplikasi ini, telah dapat membantu saya mengatasi kesulitan keuangan. Prosesnya cepat, yg penting persyaratannya lengkap..",13 September 2019
481,Diberi rating 1 bintang dari 5 bintang,izzul rob,Sangat lama responnya.. udh di playstore g di tanggapi keluhan kita. Sbnrnya ni apk niat mnjemin dana g si heran.. mending ga usah download gan,28 Oktober 2019
482,Diberi rating 4 bintang dari 5 bintang,Raviaza eza,Assalamualaikum ..met pagi Kapan yag pengajuan saya di approval ko sdh di setujui proses msh validasi trs ..,17 Februari 2020
483,Diberi rating 5 bintang dari 5 bintang,aila varisha,atas nama rossalina mau tanya ini status pinjaman saya gimana ya ? di acc atw nggak ? cara cek nya gimana sih ? mau hububgin cs nya gak tau yg mana .. tolong ya admin direspon,28 Desember 2018
484,Diberi rating 1 bintang dari 5 bintang,Pengguna Google,"sangat tidak jelas..menunggy persetujuan dri amar bank..lama nya kyk lagu rhoma irama.. jgn di dwonload kawan2..saudara ku..lebih baik cari2 pinjaman tetangga ajj..biar cepat cair. w mah pinjam 2 juta ajj lama nya... takut kabur yaa... rumah w brapa duit ...sich.. klo tdk ngasih jgn smpe sgini lama ...
Ulasan Lengkap",9 Februari 2019
485,Diberi rating 3 bintang dari 5 bintang,puspita harniyanti,"Saya udh bbrapa kali ditolak di cermati, tp yg bikin heran kenapa cs nya nelpon dgn nomor berbeda2, pas diangkat gak ngomong. Trus tiba2 dimatiin aja. Ganggu, kecuali klo emg pinjaman saya disetujui.",1 November 2018
486,Diberi rating 1 bintang dari 5 bintang,Fido Giovano,"saya mau nanya,ini aplikasi apaan??? sudah 2 bulan lebih saya ngajuin CC BNI berkas udah di ambil sama kurir,sampe sekarang tidak ada kejelasan,aplikasi apaan kaya gini,cuma ngambil data orang aja",16 Oktober 2018
487,Diberi rating 5 bintang dari 5 bintang,INAN DILVAST,"sy ngajuin kartu kredit reject terus.. dri awal 2018 tapi pas iseng2 ngajuin di cermati ke BNI, BRI & CIMB & MEGA pick up dokument tgl 13 tanggal 20 Analis, tanggal 24 Approve thx u cermati.. note : buat klian yg pngajuannya ditolak cba di koreksi lg, mulai dri kantor & kontak darurat dipastikan jwb...
Ulasan Lengkap",27 Mei 2019
488,Diberi rating 1 bintang dari 5 bintang,Richard rh,"saya isi data di cermati buat bisa ngajukan pinjaman KTA , tapi data saya malah di sebar ke axa financeal ., saya mohon jangan sebar data saya lagi, karna saya merasa ternganggu karna mereka setiap hari menghubungi saya pas di jam kerja .",10 Juli 2019
489,Diberi rating 1 bintang dari 5 bintang,TRAVEL MOVIE,"Selamat siang cermati,MOHON DATA SAYA YANG SUDAH TERDAFTAR DI APLIKASI TOLONG DI HAPUS,. saya mau tanya kemaren tgl 19 juli 2019 saya mengajukan pinjaman tanpa agunan sebesar 5 juta, saya mengajukan lewat aplikasi online bagaimana status pinjaman saya dengan nomor ID UV5FZYVJ, Kalau pun di tolak moh...
Ulasan Lengkap",21 Juli 2019
490,Diberi rating 2 bintang dari 5 bintang,karman mahing,Tolong dong di ACC ....Uda nunggu 2 Minggu tapi kok Lum ada kabar sma Skali ya. Kalo benar2 gak di ACC tolong hapus akun aku ya .,14 November 2019
491,Diberi rating 1 bintang dari 5 bintang,Glenn Unsulangi,"Selalu ditawarin tapi tidak pernah di acc,kalo begitu tidak usah nawarin .sangat sulit untuk pinjam .",2 Desember 2019
492,Diberi rating 5 bintang dari 5 bintang,Riyanti Cute,"sy ngajuin kredit jaminan surat rumah hak milik,rumah di kampung tapi sy tinggal di jkt sm suami krna krjaan suami di jkt,semoga aja bisa, kl surat yg buat jaminan ada di jkt,coba sy ngajuin dan msukin pilih tenor 3 thn knpa di aplikasi setelah ngajuin jd 3 bln ya?? pdhl di pilihan ga ada ternor bln...
Ulasan Lengkap",26 Februari 2019
493,Diberi rating 1 bintang dari 5 bintang,hendra boy enda,"Sdh 4hari cuma php aja ga ada kabar, ga proporsional. buang waktu aja nanya kanan kiri ngalor ngidul, bisa engga kasih kabar kalo ga bisa woy biar cari yang lain. Jadi curiga ni ma aplikasi cermati. Curiga boleh donk. Banyak komen komen kekecewaan calon nasabah, yg data data di pinta, ga ada kejelas...
Ulasan Lengkap",3 Mei 2019
494,Diberi rating 1 bintang dari 5 bintang,Nanang Dwi,"sudah sering menggunakan aplikasi ini baik pengajuan KTA atau CC, ttp semua dengan hasil ZONK alias tidak satupun yg berhasil, pdhl sangat membutuhkan sekali. Data udh diisi selengkap mungkin. kecewa berat",27 Desember 2018
495,Diberi rating 1 bintang dari 5 bintang,chae ruddin,"Padahal saya bnr "" butuh tp ternyata cuma PHP doank ga ad real nya data sudah lengkap tp di bilang blm lengkap data ny, waktu cicilan kredit nya berubah sendiri menjadi 24 bln padahal saya tidak memilih 24 bln. Saya kasih bintang lima kalau udah bnr "" di ACC & uang nya sudah masuk ke rekening saya",22 Agustus 2019
496,Diberi rating 1 bintang dari 5 bintang,muni indrayani21,kasih bintang 1 dulu ajah sudah di konfirmasi sm banknya tp belum ada penjelasan sudah 2 Minggu ..klo sudah di ACC baru kasih bintang 5,16 Oktober 2019
497,Diberi rating 5 bintang dari 5 bintang,Ifan Jeremy,Cermati.. Aplikasi yg sangat membantu bagi setiap org membutuhkan.. Terima kasih Cermati.. Semoga makin maju & makin baik lagi,7 November 2019
498,Diberi rating 1 bintang dari 5 bintang,Anak ilang A,Ditelp katanya nunggu kontrak akan dikirim tapi kok sampe sekarang belom ada ....,31 Desember 2019
499,Diberi rating 1 bintang dari 5 bintang,Dimas Sugali,Kenapa pengajuan saya ditolak alsan tertulis tdk bisa di tlp . Saya ats nama dimas aldi .,13 Januari 2020
500,Diberi rating 5 bintang dari 5 bintang,WIS4T4 4L4M,"Mohon pengajuan saya yg pertama ini tidak di persulit,terima kasih atas bantuannya",25 Januari 2020
501,Diberi rating 1 bintang dari 5 bintang,Fitriyanti Yuli Ekawati,"Maaf ya saya kasih bintang 1 karena aplikasi nya ngga ada kejelasan? Mana ya ko ngga ada kabar sama sekali? di approve atau ngga nya di aplikasi tulisan nya msh menunggu persetujuan dari tanggal 12 Mei 2019 sampai tanggal 26 Mei 2019 ngga ada kejelasan. Beda sama semua aplikasi yang ada, ini aplikas...
Ulasan Lengkap",26 Mei 2019
502,Diberi rating 1 bintang dari 5 bintang,nirmala fairuz,"gak usah di download, anda masukin data udh berminggu"" kterangannya cuman MENUNGGU, dan ini aplikasi bukan mau bantu keuangan malah curi data kita dan dikasih ke asuransi..disuruh ikut asuransinya maksa pula..",8 Mei 2019
503,Diberi rating 4 bintang dari 5 bintang,Pengguna Google,"Kasih 4 bintang dulu. Klw sudah di acc pinjaman saya. saya full in bintang nya. semoga di acc pengajuan saya. butuh buat biyaya pendidikan kuliah n tambah"" buat renovasi rumah.",15 Januari 2019
504,Diberi rating 3 bintang dari 5 bintang,Agung Wibowo,"utk pt cermati sy prnh ditawari utk membuat kartu kridit BRI, data2 sy sdh diambil dan pihak dri pt.cermati survey ke kantor sy, sejak dr itu sy diharap menunggu smp 14 hri kerja akan tetapi smp saat ini pun sy blm mendapat kabar di ACC atau tdk nya pengajuan kartu kridit sy tsb...jika memang tdk di...
Ulasan Lengkap",16 Juli 2019
505,Diberi rating 5 bintang dari 5 bintang,Welder Kota Pati,"Semoga bisa disetujui pengajuan saya,dan terus berusaha",12 Februari 2020
506,Diberi rating 1 bintang dari 5 bintang,Sri Utami,"Kesal saya mau ajukan pinjaman tapi selalu di minta email terus,sudah di isi dengan benar email nya malah minta lagi",20 September 2019
507,Diberi rating 1 bintang dari 5 bintang,Muhamad Afandi,Aplikasi gak berguna.. Ini mah namanya calo.. Yg buat aplikasi ini lebih blo'on dari anak SLB! Jangan mau download.,27 Oktober 2019
508,Diberi rating 2 bintang dari 5 bintang,Parlin Harahap,"Ok lah pertama kali ngajuin sukses,tapi yg ke 2x Sy ngajuin kartu kredit hampir 3 minggu yg lewat.sy di tlpon dr pihak cermati semua dt sudah lengkap,tapi sampai sekarang ngk ada tlpon tu dr pihak bank nya Mohon penjelasannya,",22 November 2018
509,Diberi rating 5 bintang dari 5 bintang,Pengguna Google,"Udh sebulan sih ngajuin Kta disini...dan akhirnya ada telpon dari Bank Permata pusat jakarta,setelah menunggu seminggu pihak dari bank permata di bandung mengajak bertemu untuk tanda tangan berkas,yah semoga aja ada kabar baik lanjutan dari Bank Permata..saya berharap segera acc..",15 Desember 2018
510,Diberi rating 1 bintang dari 5 bintang,Restu Aditya,katanya 1x24 jam udah ada hasil..ini lebih dr 1×24 jam. daffuukkk. klo di acc/nggak tinggal kabarin aja sih via email/sms/telp jadi kita nggak terlalu berharap. jing.,31 Oktober 2018
511,Diberi rating 5 bintang dari 5 bintang,Angelina Clarice,"Puji Tuhan berkat cermati, kartu kredit sy di acc semuanya 3 sekaligus .. Sy sangat bersyukur bisa dibantu, mohon dapat di tingkatkan lagi ya programnya dn sy tgg program terbaru nya ..😘😍 Tuhan Memberkati Team Cermati 👍🙏",26 Januari 2019
512,Diberi rating 2 bintang dari 5 bintang,Akhmad Fauzi,"Ko pengajuan KTA saya sudah lama ga jelas ya statusnya padahal sudah lengkap datanya,mohon dong di teliti lagi jangan sampe nunggu yg ga pasti yg akhirnya di tolak!!!",24 Desember 2018
513,Diberi rating 5 bintang dari 5 bintang,nanang kurniawan,Please kita orang sudah meluangkan waktu untuk isi data dengan benar. Dan itu membutuhkan waktu berharap mendapatkan credit card atau pinjaman. Dan pihak bank atau aplikasi enak tinggal decline aja. Jangan jdi aplikasi atau media yg tidak membantu orang,28 Mei 2019
514,Diberi rating 1 bintang dari 5 bintang,Honey Virginia,"sampai sekarang tidak ada jawaban dari 18 maret 2019 cuman mucul aplikasi anda sudah lengkap menunggu proses validasi ,proses nya berapa lama ? Aplikasi ini apa ya ? Saya mau hapus data data saya sdh masuk TOLONG DI TANGGAPI Terima kasih",14 Juli 2019
515,Diberi rating 1 bintang dari 5 bintang,Dedy S.Amalo,"ada beberapa yg sy tdk dpt mengisi nya, contoh nya nomor tlp rumah,memang tidak ada tlp rumah nya,tp di haruskan mengisi nya...gimna cara nya ?coba jwb agar sy faham maksud apk nya",28 Juli 2019
516,Diberi rating 1 bintang dari 5 bintang,Sultan Legends,"Semua ulasan pada marah. karna aplikasi tak sesuai harapan. sudah mengajuin data tidak lengkap terus. padahal jelas lengkapt dan ga bisa di isi apa"" lgi. pengajuan udah 5hari ga ada balesan apa"". mohon jangan menipu orang yg lagi ke susahan. nanti anda bakal kena rasanya.",31 Juli 2019
517,Diberi rating 5 bintang dari 5 bintang,desfialdy Bujang,Sangat membantu masyarakat kecil yg memiliki usaha mikro seperti saya ... walaupun sampai saat ini pengajuan saya si tolak.,6 Oktober 2019
518,Diberi rating 4 bintang dari 5 bintang,Beresman Pardosi,Sngt bagus.dan mendukung sangat Semua pengajuanya di acc semua Mulai dari KTA .kartu kreditt. Asuransi .pokoknya mantap. Trimkasih cermati .semoga makin maju dan sukses.. I love Pull.,15 November 2018
519,Diberi rating 1 bintang dari 5 bintang,dini hakiki,"Malam aplikasi cermati, jujur saya sangat kecewa mengajukan KTA dan kartu kredit sudah hampir 2 bulan belum diacc juga, padahal data semua sdh diambil kurir dan sudah ditelepon dari pihak cermati.",14 September 2018
520,Diberi rating 1 bintang dari 5 bintang,Unfaedah Channel,"aplikasi ini sgt berbahaya, hati2 data ada akan di perjual belikan sy menyesal mengisi form nya ada data2 pribadi saya, dan dikemudian hari sering ad telp2 dr beberapa pihak asuransi dll yg menggangu sekali.",19 Januari 2019
521,Diberi rating 1 bintang dari 5 bintang,Yt Simple,"Apl gak jelas. Gak guna. Dan gak membantu juga. Nyesel buang"" paket download ini.",10 November 2019
522,Diberi rating 5 bintang dari 5 bintang,Yanti Yanti,Saya baru mau nyoba mudah mudahan bisa dan nga ribet dan cpt di acc,19 Februari 2020
523,Diberi rating 5 bintang dari 5 bintang,Rika Sutra Ayu,"Mantapp kartu kredit w di acc. Iseng iseng ngajuin cuma BNI pas di telpon di tawarin langsung 3 bank. Tembuss lohh BNI udah dateng, BRI tinggal tunggu pengiriman kartunya, sekarang tinggal tunggu 1 lagi yang CIMB belum ada kabar.. Makasih ya cermati.",10 Mei 2019
524,Diberi rating 5 bintang dari 5 bintang,Bang Icall,"dulu sebelum saya memiliki NPWP saya pernah mengajukan tapi hanya sebatas lewat google belum mendownload aplikasi nya ... pernah di tlp dan akhirnya gagal karna saya tidak memiliki NPWP ... hari ini tepatnya malam ini saya mencoba memberanikan diri mengajukan kembali pinjaman di tunaiku amar bank ( ...
Ulasan Lengkap",27 Juni 2019
525,Diberi rating 1 bintang dari 5 bintang,Cristian Tololiu,"APLIKASI BUANG WAKTU Apa benar jika ini aplikasi cuma buang2 waktu hidup kita..? itu banyak yang berkata seperti itu... dan,,menurut saya...MEMANG BETUL juga ya...Saya Sdh Mencoba/melihat (via teman) App ini sdh 2 tahun dan terakhir tggl 30 Juli 19 sampai skrg sdh 1/2BULAN tidak ada kejelasan sama s...
Ulasan Lengkap",14 Agustus 2019
526,Diberi rating 1 bintang dari 5 bintang,Dikki Nomiarki,Saya mau mengajukan kartu kredit di kabupaten Blitar tapi kok gak ada ya pilihan kartu kredit nya,16 Januari 2020
527,Diberi rating 5 bintang dari 5 bintang,zul fkr,"Sampai saat ini blm ada penjelasan pinjaman saya, udah di tlpn sama cs nya tpi ampe saat ini menunggu omdo kyknya ini.. Ampun daah. Menunggu dan terus menunggu.",13 Desember 2018
528,Diberi rating 1 bintang dari 5 bintang,LAZUARDY N ILHAMI,"Hati2 dengan app ini, Guys .. Ada Nasabah yang udah 1th status di app cermati menunggu persetujuan . Pas di konfirmasi ke bank terkait, status sudah tertolak ga lama setelah pengajuan . Sebaiknya kalo mau pengajuan kaitan sama bank, langsung ke bank terkait aja atau langsung sama promotor saat ada e...
Ulasan Lengkap",12 Mei 2019
529,Diberi rating 1 bintang dari 5 bintang,Pengguna Google,"yg atas nama sutari nopiani belum juga di acc udah mau 1 bulan, ini aplikasi mau niat bantu apa gimana? tolong deh kalo beneran mau bantu buktiin!!! jangan mempermainkan!!!",11 Februari 2019
530,Diberi rating 1 bintang dari 5 bintang,Kirana Neng,"aplikasi kaya batak ya , kaya debt collector aja mau ambil dokumen nlp mulu , daftar isi aplikasi juga blm bres artinya sy ga jadi ,sy juga ga upload foto ktp atw apapun tp nlp trs mau ambil dokumen kan gila , udh bilang cancle maksa mulu nyuruh sy siapin dokumen , aplikasi gatau malu nih",26 Februari 2019
531,Diberi rating 1 bintang dari 5 bintang,Nur Apriliani hakim,"Tolong hapus semua data saya ..🙏 Saya tidak minat untuk mengajukan pinjaman disini , tolong hapus alamat email dan nomor telpon saya ..!!! Terimakasih .",15 Oktober 2019
532,Diberi rating 1 bintang dari 5 bintang,Adhe Hazard,Udah satu bulan pengajuan tapi gada kabar sama sekali. Payah cuma php orang dwank. Kecewa banget,29 Oktober 2019
533,Diberi rating 5 bintang dari 5 bintang,Bintang Cahaya Filter,Walaupun pengajuan sy selalu gagal. Aku tetap berusaha. Mudah2an kali ini d ACC.....,22 Oktober 2019
534,Diberi rating 5 bintang dari 5 bintang,Dwi santoso,"Berkat cermati pengajuan jadi mudah gk ribet krna di bntu sm CS yg ramah ,dah gt pengajuan di acc lg. Rekomendasi bwt cermati good app.",12 November 2019
535,Diberi rating 1 bintang dari 5 bintang,Ridwan,"Banyak yang belum kerja sama dengan pinjol""yang ada di aplikasi cermati 😭😝😃😣",2 Februari 2020
536,Diberi rating 2 bintang dari 5 bintang,Andry Kurniawan,"aplikasi emang bagus lengkap semua,,cuma saya mengajukan pengajuan dgn no order XPXMIG0N (permata bank dr 30 april 2019) blm ada kabar sampai sekarang,,saya lanjut ajuin dgn no order GXEI6UWH (keb hana bank ngajuin dr 3 mei 2019 )blm juga ada tanggapan,,cuma kalo kartu kredit malah cepet,,mohon klo ...
Ulasan Lengkap",11 Mei 2019
537,Diberi rating 5 bintang dari 5 bintang,saepul hudri,"Saya sudah sebulan mengajukan kartu kredit sudah di telpon berkali2, trus kantor jg udh ditelpon tp mash blm ada kejelasan apakah pengajuan saya diterima atau tidak??",1 November 2018
538,Diberi rating 4 bintang dari 5 bintang,Anisa Putri,"program cermati sangat .bagus tapi sayang dalam pelayan terhadap calon nasabah tidak memuaskan dan respon nya pun lambat .jujur saya mengajukan permohan kta dan dana agunan bpkb .tapi sampai sekarang belum ada respon ataupun balasan dari pihak cermati .jamgankan diterima dipengajuan dapat kabar atau...
Ulasan Lengkap",25 Juli 2019
539,Diberi rating 1 bintang dari 5 bintang,Yenni Permata,"Tolong hapus data data saya diaplikasi Cermati ini lah? saya tidak mau data data saya disalah gunakan oleh pihak yang tidak bertanggung jawab. Tolong sangat dengan rasa Hormat saya,terima kasih... 🙏🏻🙏🏻",29 Juli 2019
540,Diberi rating 3 bintang dari 5 bintang,siti. tiara28,Maaf kasih bintang 3.. soalnya udah 2x saya ajukan belum ada telepon dari pihak cermati..,16 September 2019
541,Diberi rating 1 bintang dari 5 bintang,the Denis family,Blm ada kejelasan lagi . Status masih dalam validasi dokumen fisik ??? Selama itu kah hampir 1 bulan,15 Oktober 2019
542,Diberi rating 5 bintang dari 5 bintang,Chamchuy Lhemot,"saya udah ngajuin perosesnya tinggal nunggu, tp kalu lama prosesnya terus belum pasti di acc, dibatalin saja trus data2 yang udah saya lampirkan mohon dijaga dengan baik.",30 Oktober 2019
543,Diberi rating 1 bintang dari 5 bintang,Rio Delkia,Aplikasi gak ada guna. Tidak sesuai janji kata nya proses cepat tapi gak ada kabar. Tolong di hapus data saya.,22 November 2019
544,Diberi rating 2 bintang dari 5 bintang,Iwang Tjahwono,Sy kasih bintang2 dulu...mudah2an disetujui dan dapat dicairkan...,6 Desember 2019
545,Diberi rating 5 bintang dari 5 bintang,Hadi Suswojo,sangat puas dan terpercaya dlm melayani nasabah dengan baik,27 Februari 2020
546,Diberi rating 5 bintang dari 5 bintang,Pengguna Google,"Sangat membantu sekali aplikasi cermati, karyawan nya ramah ramah keb hana bank good job smoga cepat di acc pengajuan saya dan di percepat pencairan nya karna sangat butuh sekali dalam minggu"" ini 🥇🙏",2 November 2018
547,Diberi rating 1 bintang dari 5 bintang,Muhammad Agriyansyah,"mana pengajuan saya blm ada kabar sudah seminggu.. data sudah lengkap saya upload.. apa jangan jangan mau manipulasi data? klo emg gk di acc pinjaman saya mhon diberitahukan ke kami.m jd tidak menunggu yang gk pasti.. baru kali ini pinjaman di cermati lama lemot.. dimana mana saya pinjam slalu lunas...
Ulasan Lengkap",24 Mei 2019
548,Diberi rating 1 bintang dari 5 bintang,ABYAN FAATIH ARROYAN,"ternyata saya mengalami nya seperti kalian kalian gaeesss.. berminggu2 nunggu semua aplikasi saya isi berharap gak hoax ehh ternyata koment kalian bener neeh.. ga ada kejelasaaan sama sekaliii.. kita mendownload mereka punya keuntungan dan kita yang buntung habis 😩 quota... gpp balasanya nanti di a...
Ulasan Lengkap",12 Juni 2019
549,Diberi rating 1 bintang dari 5 bintang,Hadi Nur Wachid,"Aneh, Kalo email saya sudah terdaftar di database, kenapa saya gak bisa login?",30 September 2019
550,Diberi rating 5 bintang dari 5 bintang,Satrio Arisandy,App sangat bangus tapi pinjaman KTA saya blm ada kabar lagi. Mohon di bantu ya. Terima kasih,14 November 2019
551,Diberi rating 1 bintang dari 5 bintang,Adam Sudrajat,Emang ini aplikasi bikin sampah saja gak da yg di ACC percuma nunggu lama gak di ACC,4 Februari 2020
552,Diberi rating 1 bintang dari 5 bintang,Rico Herianto,Aplikasi calo yg ujung2 nya nawarin asuransi. Cuma ngumpulin data kita doang ga tau dah buat apaan. Belom pernah ada yg acc KTA dan CC lewat aplikasi ini. Ga percaya buktikan aja.,20 Oktober 2018
553,Diberi rating 2 bintang dari 5 bintang,Vindi Eka Pratiwi,"Pengajuan awal sudah nunggu 4bln belom ada kepastian dan ga ada tlp sama sekali. Ini ngajuin lagi , mau coba di acc atau engga. Semiga aja... kalo ga ke acc juga hapus aja apk ini..",13 November 2018
554,Diberi rating 1 bintang dari 5 bintang,Lasty FoodDiary,"saya udah ngajuin kartu kredit dari tanggal 25 juni, terus dokumen juga sudah di ambil kurir sejak tanggal 28 juni, tapi tidak ada telepon dari analis sama sekali. dan pihak cermati di WhatsApp & admin juga tidak membantu sama sekali",9 Juli 2019
555,Diberi rating 1 bintang dari 5 bintang,jordan aje,"Ribet ga jelas,,, berkali2 isi data pas klik tombol lanjut ga bisa2, giliran udh ada yg berhasil sampai seminggu ga ada konfirmasi dan tindaklanjut.nya bisa atau tidak.nya melakukan pengajuan...jangan2 cuma mao nyolong data doang👎👎👎",6 Agustus 2019
556,Diberi rating 1 bintang dari 5 bintang,Fandy Marcelo,"aplikasi php, ini hanya fokus untuk asuransi aja yg lainnya php.. coba ajuin cc statusnya no tidak dapat di hubungi sedangkan no aktif terus setiap hari.. mang nelponnya tengah malam?? cukup tau aja..",16 Agustus 2019
557,Diberi rating 3 bintang dari 5 bintang,Ucok Maruli siregar,Maaf tolong info nya yaa apa bila saya tidk di acc /ajuan saya ..biar saya tidk berharap dan menunggu² udh 1bulan .pengajuan saya belom ada kabar. Dan beberapa kurir yg mendatangi saya mengambil dokumen saya . Sekali lagi mohon info nya .....,4 September 2019
558,Diberi rating 5 bintang dari 5 bintang,Mrahmad Wijaya,Mohon bantuan ACC nya ya saya akan bayar tepat waktu nya,4 Februari 2020
559,Diberi rating 1 bintang dari 5 bintang,Sedulur Mancing,"belom di acc . masih nenunggu. terpaksa bintang aq turunin. anjiiing masih menunggu . data sudah komplit . mau smpai kapan w nunggu . gak ada pasti woe . mebding hapus data"" kami . jika tidak bakal w laporin",16 Mei 2019
560,Diberi rating 5 bintang dari 5 bintang,Pengguna Google,"Selamat pagi Cermati, Kasih Bintang 5 Pengajuan Atas Nama Asep ko masih dalam proses ya, mohon Untuk Kasih penjelasan nya, Karna Saya lagi Membutuh kan Sekali, Terima Kasih.. Semoga Membantu..",5 Maret 2019
561,Diberi rating 2 bintang dari 5 bintang,Joe Sandy,"gw kasih dua bintang dulu ya.. soalnya kan masih baru jadi butuh pengenalan.. jika pinjaman saya sudah di acc baru saya kasih 5 bintang.. tolong dibantu donk cermati, soalnya buat berobat keluarga saya..",13 Februari 2019
562,Diberi rating 1 bintang dari 5 bintang,Putri Shinye,"Kecewa, pengajuan cc disini cuma php aja. Uda di tlp, katanya tunggu 2 hari untuk acc atau tidaknya. Lah ini uda mau 1 tahun malah...ga ada keterangan apa2, berasa di php.",25 November 2018
563,Diberi rating 1 bintang dari 5 bintang,FADIL Akbar,SAYA NGASIH TAU AJH BUAT KALIAN. JANGAN DOWNLOAD. PERCUMA. GA BAKAL JELAS. SAMPE BERMINGGU2 JUGA. MENDING UNINSTAL. KALO GA PERCAYA CHECK RATING NYA. APA KAH ADA 50% YG DI SETUJUI??? SEMUA RATING RATA2 BURUK. JANGAN SAMPAI NYESEL,23 Juli 2019
564,Diberi rating 1 bintang dari 5 bintang,alya Ardiyanti,"Aplikasi apaan ini, masa susah banget dapetin kode verifikasi nya udah beberapa hari belum dapet juga",25 November 2019
565,Diberi rating 5 bintang dari 5 bintang,SUPRI YANTO,ANDA LUAR BIASA..INTINYA SEMUNYA HARUS SABAR * KARNA SEMUANYA ITU PROSES...🤗🤗🤗,8 Februari 2020
566,Diberi rating 1 bintang dari 5 bintang,Alan Sauki,pengajuan saya kalo ga di acc kasih tau dong udah 2 minggu ini data sudah masuk semua cuman ada sms suruh masukin kode ke credipo udah semua nya sukses tapi kabar aja kaga ada kalo emang ga di acc sms kek kasih tau di tolak orang udah nungguin juga kako do tolak kan bisa nyari pinjaman yg lain,15 Maret 2019
567,Diberi rating 5 bintang dari 5 bintang,Pengguna Google,saya baru mengajukan a/n A Asep wildan.semoga aja bener aplikasinya dalam jangka waktu 24 dana cair dan sebelumnya mohon konfirmasi lewat telpon yang sudah tercantum waktu pengisian.terima kasih,13 Maret 2019
568,Diberi rating 1 bintang dari 5 bintang,Pengguna Google,"Pengajuan melalui cermati baik kartu kredit or kta sama aja lebih baik lgs ke bank/tempat yg bersangkutan lgs,.kirain melalui cermati ada dispensasi terhadap syarat atau lebih mudah ternyata sama aja tetep sama dg dtg lgs ke tempat yg bersangkutan....kurang sip lah...1 bintang ajah deh buat cermati",16 November 2018
569,Diberi rating 1 bintang dari 5 bintang,Eben Simbolon,"PHP neh.saya ditelpon dijanjikan akan didatengin Oleh sales mobile cermati (besoknya) untuk pickup file dan survey,sudah 5x24 jam toh jg gak ada yg datang orangnya padahal CSnya sendiri yg nelpon dan yg janjiin. bahkan sudah dapat konfirmasi email dan sms jg, lalu sudah tanyakan kembali via email da...
Ulasan Lengkap",4 Juni 2019
